strategy,pair,total_return,sharpe_ratio,max_drawdown,win_rate,trades,fast_window,slow_window,strategy_name,rsi_window,bb_window,short_window,long_window
RSI with BB,ICPBTC,-22.455316252167563,-3.80110547858385,36.96260048324121,40.57142857142857,176,,,RSIWithBB,14.0,20.0,,
MA Crossover,ICPBTC,-97.68038127297979,-64.6418848246844,97.68038127297982,4.482758620689655,291,,,MACrossover,,,25.0,100.0
SMA Crossover,IMXBTC,-99.87881443801271,-87.18939285728088,99.87929161187937,7.208872458410351,541,15.0,40.0,SMACrossover,,,,
RSI with BB,IMXBTC,-28.447797478679977,-4.2303591013577675,43.107304735189885,42.06349206349206,253,,,RSIWithBB,14.0,20.0,,
MA Crossover,IMXBTC,-95.63913696331086,-48.2554415224705,95.63913696331083,8.695652173913043,253,,,MACrossover,,,25.0,100.0
SMA Crossover,INJBTC,-99.95344870419797,-91.1515870334186,99.95351986888133,7.872696817420436,597,15.0,40.0,SMACrossover,,,,
RSI with BB,INJBTC,-52.78171861828254,-9.278837761940485,58.45928207022057,39.88603988603989,352,,,RSIWithBB,14.0,20.0,,
MA Crossover,INJBTC,-96.61802713324187,-47.87471846370444,96.63302004652074,9.469696969696969,265,,,MACrossover,,,25.0,100.0
SMA Crossover,IOTABTC,-99.93829875730927,-86.79642926556022,99.93834623298767,5.486725663716814,565,15.0,40.0,SMACrossover,,,,
RSI with BB,IOTABTC,-46.87694777909166,-7.127256328290227,56.259141608753346,42.508710801393725,288,,,RSIWithBB,14.0,20.0,,
MA Crossover,IOTABTC,-97.72393419472344,-51.32067260448427,97.7254805961769,8.480565371024735,283,,,MACrossover,,,25.0,100.0
SMA Crossover,KAVABTC,-99.21385110164472,-57.95047387550612,99.22574396136088,11.286089238845145,381,15.0,40.0,SMACrossover,,,,
RSI with BB,KAVABTC,-56.706524250220994,-10.799070732911105,59.08620058573548,38.35616438356164,293,,,RSIWithBB,14.0,20.0,,
MA Crossover,KAVABTC,-93.46858731372404,-35.67616776833331,93.54438821676978,11.46788990825688,218,,,MACrossover,,,25.0,100.0
SMA Crossover,KDABTC,-99.96094610106255,-94.64238359267357,99.96094610106256,6.075533661740558,609,15.0,40.0,SMACrossover,,,,
RSI with BB,KDABTC,-52.26428545240927,-9.088823375840331,61.540332857418164,38.607594936708864,317,,,RSIWithBB,14.0,20.0,,
MA Crossover,KDABTC,-97.1837052699509,-51.42100661823401,97.18540844361804,8.239700374531834,267,,,MACrossover,,,25.0,100.0
SMA Crossover,LAYERBTC,-98.79824269925764,-41.13291877653768,99.15477890161671,12.316715542521994,341,15.0,40.0,SMACrossover,,,,
RSI with BB,LAYERBTC,-69.98962461197209,-10.081414380170095,77.3656437540998,42.52100840336134,596,,,RSIWithBB,14.0,20.0,,
MA Crossover,LAYERBTC,-85.75274723819588,-18.03248718323015,91.62938283660846,12.578616352201259,159,,,MACrossover,,,25.0,100.0
SMA Crossover,LINKBTC,-99.94044660648733,-101.05859605388324,99.94044660648733,2.901023890784983,586,15.0,40.0,SMACrossover,,,,
RSI with BB,LINKBTC,-23.716674489467778,-3.874549831372817,39.269988901321454,42.42424242424242,232,,,RSIWithBB,14.0,20.0,,
MA Crossover,LINKBTC,-98.01616561612184,-65.15276968474001,98.01955871940096,4.513888888888888,289,,,MACrossover,,,25.0,100.0
SMA Crossover,LTCBTC,-99.9056327863909,-81.59834922142893,99.9056327863909,7.7834179357022,591,15.0,40.0,SMACrossover,,,,
RSI with BB,LTCBTC,-58.35182502173417,-10.719915251594697,63.28070038369138,37.461300309597526,324,,,RSIWithBB,14.0,20.0,,
MA Crossover,LTCBTC,-95.78976089156015,-42.63962123679061,95.87427590187376,12.452830188679245,265,,,MACrossover,,,25.0,100.0
SMA Crossover,MANABTC,-99.8424811977464,-92.01374323890357,99.84248119774637,5.405405405405405,518,15.0,40.0,SMACrossover,,,,
RSI with BB,MANABTC,-36.738422172244526,-7.170548732843306,45.912059441043205,40.4040404040404,199,,,RSIWithBB,14.0,20.0,,
MA Crossover,MANABTC,-96.4287027453897,-57.361586052408036,96.42870274538964,6.538461538461539,261,,,MACrossover,,,25.0,100.0
SMA Crossover,MANTABTC,-99.94582661550557,-89.4467550889422,99.9461176062213,5.518394648829431,598,15.0,40.0,SMACrossover,,,,
RSI with BB,MANTABTC,-42.08372999198914,-6.3149117411287925,54.205183140954205,42.10526315789473,343,,,RSIWithBB,14.0,20.0,,
MA Crossover,MANTABTC,-96.37331075466606,-46.455522646171005,96.3733107546661,12.313432835820896,268,,,MACrossover,,,25.0,100.0
SMA Crossover,MKRBTC,-99.87002983841744,-76.1454414928203,99.87002983841738,8.16326530612245,588,15.0,40.0,SMACrossover,,,,
RSI with BB,MKRBTC,-73.87357963653774,-16.46207584250597,79.13493547536238,32.62839879154079,332,,,RSIWithBB,14.0,20.0,,
MA Crossover,MKRBTC,-93.14956537260802,-34.59804561756826,93.17760486905247,12.156862745098039,255,,,MACrossover,,,25.0,100.0
SMA Crossover,MOVEBTC,-99.81972263389663,-69.55987767524185,99.82065051558314,7.478632478632479,468,15.0,40.0,SMACrossover,,,,
RSI with BB,MOVEBTC,-33.338420134368995,-4.22788366050102,46.469570362337485,43.529411764705884,340,,,RSIWithBB,14.0,20.0,,
MA Crossover,MOVEBTC,-96.78813881205005,-41.748059532089805,96.80467015616905,10.87866108786611,239,,,MACrossover,,,25.0,100.0
SMA Crossover,NEARBTC,-99.92006430783847,-95.20516415707321,99.92006430783846,5.699481865284974,579,15.0,40.0,SMACrossover,,,,
RSI with BB,NEARBTC,-35.042079612691644,-5.974786939253879,49.691800247099074,40.92526690391459,282,,,RSIWithBB,14.0,20.0,,
MA Crossover,NEARBTC,-96.30963454884122,-53.40586418117672,96.30963454884125,8.394160583941606,274,,,MACrossover,,,25.0,100.0
SMA Crossover,NEOBTC,-99.93103556471475,-100.50589580331703,99.93208864030242,3.454231433506045,579,15.0,40.0,SMACrossover,,,,
RSI with BB,NEOBTC,-34.44532713714845,-6.495496310051212,44.13560614318431,39.130434782608695,208,,,RSIWithBB,14.0,20.0,,
MA Crossover,NEOBTC,-96.49618359662745,-57.969314423682796,96.59718506498032,6.130268199233716,261,,,MACrossover,,,25.0,100.0
